movie_name,ranking,score,score_num
花样年华,152,8.5,240541
二十二,153,8.8,81947
7号房的礼物,154,8.7,168810
人工智能,155,8.6,185754
我是山姆,156,8.8,100153
浪潮,157,8.7,128860
海边的曼彻斯特,158,8.6,160853
荒蛮故事,159,8.7,130133
香水,160,8.4,269867
冰川时代,161,8.4,263750
朗读者,162,8.5,273214
追随,163,8.9,79816
撞车,164,8.6,170851
小森林 冬春篇,165,8.9,106936
罗生门,166,8.7,120967
一次别离,167,8.7,128972
时空恋旅人,168,8.6,191280
心迷宫,169,8.6,154095
唐伯虎点秋香,170,8.4,311915
超能陆战队,171,8.6,355981
蝙蝠侠：黑暗骑士崛起,172,8.5,286621
战争之王,173,8.5,170677
可可西里,174,8.6,125562
梦之安魂曲,175,8.7,109053
地球上的星星,176,8.8,81514
碧海蓝天,177,8.7,106274
未麻的部屋,178,8.8,92071
爆裂鼓手,179,8.6,228995
秒速5厘米,180,8.3,285781
恐怖游轮,181,8.3,310107
谍影重重2,182,8.5,154694
阿飞正传,183,8.5,174963
谍影重重,184,8.5,186612
达拉斯买家俱乐部,185,8.6,162611
牯岭街少年杀人事件,186,8.7,102696
海盗电台,187,8.6,162196
惊魂记,188,8.8,79722
魔女宅急便,189,8.4,187551
被解救的姜戈,190,8.5,252001
再次出发之纽约遇见你,191,8.5,160951
东京物语,192,9.2,48663
绿里奇迹,193,8.7,103070
勇闯夺命岛,194,8.5,138183
迁徙的鸟,195,9.1,50808
末路狂花,196,8.7,100958
青蛇,197,8.4,212356
荒野生存,198,8.6,123372
哪吒闹海,199,8.8,76886
卡萨布兰卡,200,8.6,120801
终结者2：审判日,201,8.5,136433
忠犬八公物语,202,9.0,54855
这个男人来自地球,203,8.5,172425
燕尾蝶,204,8.6,105591
变脸,205,8.4,207766
源代码,206,8.3,396415
新龙门客栈,207,8.4,176436
英国病人,208,8.4,169777
E.T. 外星人,209,8.5,147560
黄金三镖客,210,9.1,49510
黑客帝国3：矩阵革命,211,8.5,149594
发条橙,212,8.4,180681
城市之光,213,9.2,41701
美国丽人,214,8.4,179059
叫我第一名,215,8.6,105439
无耻混蛋,216,8.4,216336
穆赫兰道,217,8.3,227187
非常嫌疑犯,218,8.6,112242
初恋这件小事,219,8.2,442638
勇士,220,8.9,85026
模仿游戏,221,8.5,243719
上帝也疯狂,222,8.6,93084
蓝色大门,223,8.3,266459
爱·回家,224,9.0,45720
爱在午夜降临前,225,8.8,110176
无敌破坏王,226,8.6,178334
大卫·戈尔的一生,227,8.6,87178
血钻,228,8.5,125300
房间,229,8.8,141299
国王的演讲,230,8.3,326429
枪火,231,8.6,95677
疯狂的石头,232,8.2,299178
麦兜故事,233,8.5,123413
曾经,234,8.3,197326
暖暖内含光,235,8.4,139619
头脑特工队,236,8.7,210726
千钧一发,237,8.7,81210
遗愿清单,238,8.5,121384
荒岛余生,239,8.5,127550
蝴蝶,240,8.6,92877
巴黎淘气帮,241,8.6,102078
与狼共舞,242,8.9,54405
月球,243,8.5,138100
偷拐抢骗,244,8.5,112381
我爱你,245,9.0,53388
彗星来的那一夜,246,8.4,162956
步履不停,247,8.8,62557
寿司之神,248,8.8,79011
夜访吸血鬼,249,8.3,191567
廊桥遗梦,250,8.6,94785
